final_rank	TargetMol_ID	node_name	consensus_rank_percentile_mean	kg_score_mean	z	GPS_score_zRGES_like_lower_better
1	T1458	Epalrestat	0.11666666666666665	0.9851108687	-1.5364404026651963	-2.1855635058544034
2	T0864	Levothyroxine	0.18333333333333335	0.9242107328	-2.230030818036779	-1.2889623756051896
3	T1784	Everolimus	0.19583333333333333	0.9472055774	-1.0425697072118922	-2.239090412471373
4	T1511L	Daunorubicin	0.22499999999999998	0.781711793	-1.7345911085304349	-2.7419578852503994
5	T0833	Benzoic acid	0.24583333333333335	0.8510237248	-1.383375152364725	-1.8098046290625405
6	T6708	Tolcapone	0.25	0.7916968945999998	-1.9424340737673973	-2.132364617392858
7	T0692	Allopurinol	0.26666666666666666	0.8881060747	-0.8200926006155956	-2.21503800993451
8	T7581	voxelotor	0.26666666666666666	0.8287013223000002	-1.9644974626763871	-1.2889623756051896
9	T1456	Doxorubicin	0.275	0.7589765747999999	-1.839844845935999	-2.276373559658144
10	T1055	Ifosfamide	0.3166666666666667	0.7979439765	-0.8799214925486671	-2.298794022236634
11	T6864	Ixabepilone	0.3416666666666666	0.9718632155	-1.9358303134655883	-0.1659425210295393
12	TQ0197	Acenocoumarol	0.3541666666666667	0.8378456876999999	-1.0329590489776668	-1.2889623756051896
13	T1653	Liothyronine	0.3583333333333334	0.9234692174000004	-0.6720428979902243	-1.2889623756051896
14	T1311	Aminobenzoic acid	0.3583333333333334	0.8364894674	-0.9437424394612464	-1.2889623756051896
15	T60343	Tipiracil	0.3625	0.9480112244	-1.595197869640913	-0.3136273275661065
16	T20681	Estramustine	0.375	0.9652007396	-0.3720259015175566	-1.2889623756051896
17	T3595	T3595	0.375	0.8402707041	-0.7279866192754932	-1.7342038984597323
18	T2346	Enasidenib	0.37916666666666665	0.6612184475	-1.147306432235056	-2.8001729798358515
19	T7060	Amantadine	0.3791666666666667	0.9098123225	-0.4553260823397861	-1.6208678147403996
20	T6906	Tamoxifen	0.3875	0.8641236853	-0.3253985887308669	-2.143065995999512
21	T1583	Vorinostat	0.3875	0.626246959	-2.0367592347448227	-1.944890903475793
