sample_id	group
GSM3998175	disease
GSM3998177	disease
GSM3998189	disease
GSM3998192	disease
GSM3998194	disease
GSM3998196	disease
GSM3998197	disease
GSM3998198	disease
GSM3998202	disease
GSM3998205	disease
GSM3998213	disease
GSM3998216	control
GSM3998217	control
GSM3998218	control
GSM3998219	disease
GSM3998220	control
GSM3998221	control
GSM3998222	control
GSM3998223	control
GSM3998224	control
GSM3998232	disease
GSM3998236	disease
GSM3998244	disease
GSM3998247	disease
GSM3998249	disease
GSM3998254	disease
GSM3998267	disease
GSM3998270	disease
GSM3998272	disease
GSM3998276	disease
GSM3998279	disease
GSM3998281	disease
GSM3998283	disease
GSM3998286	disease
GSM3998288	disease
GSM3998289	disease
GSM3998290	disease
GSM3998293	disease
GSM3998294	disease
GSM3998295	disease
GSM3998302	disease
GSM3998303	disease
GSM3998304	disease
GSM3998305	disease
GSM3998307	disease
GSM3998310	disease
GSM3998323	disease
GSM3998325	disease
GSM3998326	disease
GSM3998336	disease
GSM3998341	control
GSM3998342	control
GSM3998344	disease
GSM3998345	disease
GSM3998346	disease
GSM3998349	disease
GSM3998352	disease
GSM3998353	disease
GSM3998361	disease
GSM3998366	disease
GSM3998377	disease
