row_index,ID,CAS,Formula,MolWt,SMILES,parse_mode
1,T0002,2624-44-4,C10H17NO5S,263.31,CCNCC.O=S(=O)(O)c1cc(O)ccc1O,sanitized
2,T0004,65-45-2,C7H7NO2,137.14,NC(=O)c1ccccc1O,sanitized
3,T0005,50-78-2,C9H8O4,180.16,CC(=O)Oc1ccccc1C(=O)O,sanitized
4,T0006,7220-79-3,C16H24ClN3O3S,373.9,CN(C)c1ccc2nc3ccc(=[N+](C)C)cc-3sc2c1.O.O.O.[Cl-],sanitized
5,T0007,29122-68-7,C14H22N2O3,266.34,CC(C)NCC(O)COc1ccc(CC(N)=O)cc1,sanitized
6,T0007L,56715-13-0,C14H22N2O3,266.34,CC(C)NC[C@@H](O)COc1ccc(CC(N)=O)cc1,sanitized
7,T0008,630-93-3,C15H11N2NaO2,274.25,O=C1[N-]C(=O)C(c2ccccc2)(c2ccccc2)N1.[Na+],sanitized
8,T0009,31430-15-6,C16H12FN3O3,313.28,COC(=O)Nc1nc2ccc(C(=O)c3ccc(F)cc3)cc2[nH]1,sanitized
9,T0010,50-44-2,C5H4N4S,152.18,S=c1nc[nH]c2nc[nH]c12,sanitized
10,T0011,1960/12/8,C8H10O,122.16,OCCc1ccccc1,sanitized
11,T0012,118-10-5,C19H22N2O,294.39,C=C[C@H]1C[N@]2CC[C@H]1C[C@@H]2[C@@H](O)c1ccnc2ccccc12,sanitized
12,T0013,15574-49-9,C13H15NO3,233.26,CCOC(=O)c1c(C)n(C)c2ccc(O)cc12,sanitized
13,T0014,104-46-1,C10H12O,148.2,CC=Cc1ccc(OC)cc1,sanitized
14,T0015,59-47-2,C10H14O3,182.22,Cc1ccccc1OCC(O)CO,sanitized
15,T0016,1641-17-4,C15H14O3,242.27,COc1ccc(C(=O)c2ccc(C)cc2)c(O)c1,sanitized
16,T0017,1977/9/8,C20H14O4,318.32,O=C1OC(c2ccc(O)cc2)(c2ccc(O)cc2)c2ccccc21,sanitized
17,T0018,614-39-1,C13H21N3O·HCl,271.79,CCN(CC)CCNC(=O)c1ccc(N)cc1.Cl,sanitized
18,T0019,590-46-5,C5H12ClNO2,153.61,C[N+](C)(C)CC(=O)O.[Cl-],sanitized
19,T0020,6018-19-5,C7H6NNaO3·2H2O,211.15,Nc1ccc(C(=O)[O-])c(O)c1.O.O.[Na+],sanitized
20,T0022,107-35-7,C2H7NO3S,125.15,NCCS(=O)(=O)O,sanitized
21,T0023,90-22-2,C19H32BrNO2,386.37,CCC(C)C(C(=O)OCC[N+](C)(CC)CC)c1ccccc1.[Br-],sanitized
22,T0024,125-33-7,C12H14N2O2,218.25,CCC1(c2ccccc2)C(=O)NCNC1=O,sanitized
23,T0025,52-86-8,C21H23ClFNO2,375.86,O=C(CCCN1CCC(O)(c2ccc(Cl)cc2)CC1)c1ccc(F)cc1,sanitized
24,T0026,152-47-6,C11H12N4O3S,280.3,COc1nccnc1NS(=O)(=O)c1ccc(N)cc1,sanitized
25,T0027,118-60-5,C15H22O3,250.33,CCCCC(CC)COC(=O)c1ccccc1O,sanitized
26,T0028,924-49-2,C4H9NO3,119.12,NCC(O)CC(=O)O,sanitized
27,T0030,18010-40-7,C18H28N2O·HCl,324.89,CCCCN1CCCCC1C(=O)Nc1c(C)cccc1C.Cl,sanitized
28,T0031,138982-67-9,C21H21ClN4OS·HCl·H2O,467.12,Cl.O.O=C1Cc2cc(CCN3CCN(c4nsc5ccccc45)CC3)c(Cl)cc2N1,sanitized
29,T0031L,122883-93-6,C21H22CL2N4OS,449.4,Cl.O=C1Cc2cc(CCN3CCN(c4nsc5ccccc45)CC3)c(Cl)cc2N1,sanitized
30,T0031L2,146939-27-7,C21H21ClN4OS,412.94,O=C1Cc2cc(CCN3CCN(c4nsc5ccccc45)CC3)c(Cl)cc2N1,sanitized
31,T0032,25990-60-7,C5H10O5,150.13,O=C[C@H](O)[C@@H](O)[C@H](O)CO,sanitized
32,T0033,58066-85-6,C21H46NO4P,407.57,CCCCCCCCCCCCCCCCOP(=O)([O-])OCC[N+](C)(C)C,sanitized
33,T0034,1950/4/4,C23H30O6,402.48,[H][C@@]12CC[C@](O)(C(=O)COC(C)=O)[C@@]1(C)CC(=O)[C@@]1([H])[C@@]2([H])CCC2=CC(=O)CC[C@@]21C,sanitized
34,T0035,84-17-3,C18H18O2,266.33,C/C=C(C(=C/C)/c1ccc(O)cc1)\c1ccc(O)cc1,sanitized
35,T0036,471-53-4,C30H46O4,470.68,CC1(C)[C@@H](O)CC[C@]2(C)[C@H]3C(=O)C=C4[C@@H]5C[C@@](C)(C(=O)O)CC[C@]5(C)CC[C@@]4(C)[C@]3(C)CC[C@@H]12,sanitized
36,T0039,119356-77-3,C21H23NO,305.42,CN(C)[C@@H](CCOc1cccc2ccccc12)c1ccccc1,sanitized
37,T0040,152-43-2,C25H32O2,364.52,[H][C@@]12CC[C@@](O)(C#C)[C@@]1(C)CC[C@]1([H])c3ccc(OC4CCCC4)cc3CC[C@@]21[H],sanitized
38,T0042,1218-35-5,C16H24N2·HCl,280.84,Cc1cc(C(C)(C)C)cc(C)c1CC1=NCCN1.Cl,sanitized
39,T0043,543-82-8,C8H19N,129.24,CC(C)CCCC(C)N,sanitized
40,T0044,126-27-2,C28H41N3O3,467.64,CN(C(=O)CN(CCO)CC(=O)N(C)C(C)(C)Cc1ccccc1)C(C)(C)Cc1ccccc1,sanitized
41,T0045,543-15-7,C8H20ClNO,181.71,CC(N)CCCC(C)(C)O.Cl,sanitized
42,T0048,59-26-7,C10H14N2O,178.23,CCN(CC)C(=O)c1cccnc1,sanitized
43,T0049,37091-65-9,C20H22N5NaO6S,483.47,CC1(C)S[C@@H]2[C@H](NC(=O)[C@H](NC(=O)N3CCNC3=O)c3ccccc3)C(=O)N2[C@H]1C(=O)[O-].[Na+],sanitized
44,T0050,1983/7/8,C11H13N3O,203.24,Cc1c(N)c(=O)n(-c2ccccc2)n1C,sanitized
45,T0051,51-79-6,C3H7NO2,89.09,CCOC(N)=O,sanitized
46,T0053,10246-75-0,C44H43ClN2O8,763.27,O=C(O)c1cc2ccccc2c(Cc2c(O)c(C(=O)O)cc3ccccc23)c1O.OCCOCCN1CCN(C(c2ccccc2)c2ccc(Cl)cc2)CC1,sanitized
47,T0054,97-77-8,C10H20N2S4,296.54,CCN(CC)C(=S)SSC(=S)N(CC)CC,sanitized
48,T0055,3820-67-5,C19H17ClN2O4,372.8,O=C(OCC(O)CO)c1ccccc1Nc1ccnc2cc(Cl)ccc12,sanitized
49,T0056,52432-72-1,C26H41NO10,527.6,CCN(CC)CCOCCOC(=O)C(CC)(CC)c1ccccc1.O=C(O)CC(O)(CC(=O)O)C(=O)O,sanitized
50,T0058,938-73-8,C9H11NO2,165.19,CCOc1ccccc1C(N)=O,sanitized
51,T0059,132-18-3,C19H23NO·HCl,317.85,CN1CCC(OC(c2ccccc2)c2ccccc2)CC1.Cl,sanitized
