symbol	entrez_id
IGFBP1	3484
FOS	2353
EGR1	1958
RGS1	5996
DUSP1	1843
CXCL2	2920
CEBPD	1052
GADD45G	10912
GADD45B	4616
SLC22A10	387775
TCIM	56892
IRS2	8660
PCK1	5105
RGS2	5997
ZFP36	7538
LOC102724428	102724428
FADS2	9415
SCD	6319
FASN	2194
IL4I1	259307
LGALS4	3960
FAM151A	338094
MAMDC4	158056
HSPA8	3312
ANGPTL8	55908
PFKL	5211
PPP1R3C	5507
FADS1	3992
INHBE	83729
CYP7A1	1581
PGLYRP2	114770
FBXW5	54461
FNDC5	252995
ANXA6	309
OSGIN1	29948
PARP10	84875
OLFM2	93145
KRT8	3856
CDKN1A	1026
SLCO2B1	11309
KLF13	51621
FDPS	2224
POLR2E	5434
DDX3Y	8653
TUBB2B	347733
LSS	4047
SYT7	9066
MARCO	8685
GGT1	2678
TUBB2A	7280
MVD	4597
AKR1B10	57016
SEC14L4	284904
OPLAH	26873
CLPTM1	1209
CRYAA	1409
GPAA1	8733
LAMB2	3913
HGFAC	3083
CDHR5	53841
LOC102724652	102724652
APOE	348
ASL	435
CACNA1H	8912
TRAF7	84231
PDZD9	255762
TYMP	1890
LRP5	4041
BLTP2	9703
ENO3	2027
TUBB4B	10383
CTSD	1509
NDUFS7	374291
AGPAT2	10555
SACK1G	644815
REEP6	92840
PNPLA3	80339
TM6SF2	53345
GCKR	2646
HSD17B13	345275
PYGO1	26108
LMNA	4000
PPARG	5468
SREBF1	6720
PPARA	5465
APOB	338
BSCL2	26580
CIDEC	63924
PLIN1	5346
MTTP	4547
LIPE	3991
PCSK9	255738
YARS1	8565
LPL	4023
CAV1	857
LDLR	3949
PNPLA2	57104
SIRT1	23411
SLC25A13	10165
PRMT7	54496
CAVIN1	284119
AKT2	208
ADIPOQ	9370
APOC3	345
ACOX1	51
ANGPTL3	27329
NR1H4	9971
PPARGC1A	10891
HADHA	3030
APOA1	335
LEP	3952
PLIN2	123
ZMPSTE24	10269
LIPA	3988
ATG7	10533
CETP	1071
CPT1A	1374
